Date of Trade,Entry Point,Take Profit,Stop Loss,Date Closed,Trade Close,Win/Loss,Percent Win/Loss,
2008-02-07,88.95,94.287,84.5025,2008-02-27,94.56,5.61,6.3069 %,
2008-05-09,87.37,92.6122,83.0015,2008-07-01,93.35,5.98,-6.8445 %,
2008-06-09,88.54,93.8524,84.113,2008-07-11,95.03,6.49,-7.33 %,
2008-06-27,90.98,96.4388,86.431,2008-07-15,96.55,5.57,-6.1222 %,
2008-08-01,89.50,94.87,85.025,2008-08-08,84.35,-5.15,-5.7542 %,
2008-10-07,87.18,92.4108,82.821,2008-10-10,81.38,-5.8,6.6529 %,
2008-12-09,75.56,80.0936,71.782,2008-12-10,80.11,4.55,-6.0217 %,
2009-01-20,84.17,89.2202,79.9615,2009-01-26,90.19,6.02,7.1522 %,
2009-02-11,90.93,96.3858,86.3835,2009-02-18,97.15,6.22,6.8404 %,
2009-02-18,95.23,100.9438,90.4685,2009-03-03,88.94,-6.29,-6.6051 %,
2009-04-14,87.78,93.0468,83.391,2009-05-21,93.86,6.08,-6.9264 %,
2009-07-02,91.47,96.9582,86.8965,2009-09-03,97.94,6.47,7.0734 %,
2009-09-23,99.16,105.1096,94.202,2009-11-03,106.70,7.54,7.6039 %,
2009-11-03,103.74,109.9644,98.553,2009-11-16,110.70,6.96,6.7091 %,
2009-11-27,113.08,119.8648,107.426,2009-12-17,107.28,-5.8,-5.1291 %,
2009-12-17,109.47,116.0382,103.9965,2010-02-04,103.75,-5.72,-5.2252 %,
2010-04-01,109.97,116.5682,104.4715,2010-05-06,118.62,8.65,7.8658 %,
2010-05-07,117.64,124.6984,111.758,2010-09-16,124.77,7.13,6.0609 %,
2010-06-02,119.35,126.511,113.3825,2010-07-27,113.21,-6.14,-5.1445 %,
2010-07-12,117.83,124.8998,111.9385,2010-09-17,125.03,7.2,6.1105 %,
2010-07-14,118.26,125.3556,112.347,2010-09-20,125.45,7.19,6.0798 %,
2010-08-09,117.76,124.8256,111.872,2010-09-17,125.03,7.27,-6.1736 %,
2010-09-08,122.82,130.1892,116.679,2010-10-05,131.12,8.3,6.7579 %,
2010-11-05,135.14,143.2484,128.383,2011-01-27,127.80,-7.34,-5.4314 %,
2010-12-14,136.27,144.4462,129.4565,2011-01-25,129.07001,-7.2,-5.2836 %,
2011-01-03,138.67,146.9902,131.7365,2011-01-20,131.03999,-7.63,-5.5023 %,
2011-03-24,140.27,148.6862,133.2565,2011-04-27,149.21001,8.94,6.3734 %,
2011-05-19,145.12,153.8272,137.864,2011-07-13,154.71001,9.59,6.6083 %,
2011-05-31,149.88,158.8728,142.386,2011-07-29,159.25,9.37,6.2517 %,
2011-07-06,148.70,157.622,141.265,2011-07-25,157.80,9.1,6.1197 %,
2011-07-11,151.33,160.4098,143.7635,2011-08-02,161.62,10.29,6.7997 %,
2011-08-01,157.47,166.9182,149.5965,2011-08-08,167.61,10.14,6.4393 %,
2011-09-09,179.75999,190.5456,170.772,2011-09-22,169.30,-10.46,-5.8189 %,
2011-09-28,160.73,170.3738,152.6935,2011-11-03,171.17,10.44,6.4954 %,
2011-10-24,160.55,170.183,152.5225,2011-10-27,170.28999,9.74,-6.0666 %,
2012-01-03,154.75999,164.0456,147.022,2012-01-25,166.55,11.79,-7.6182 %,
2012-01-11,159.34,168.9004,151.373,2012-01-27,169.00,9.66,-6.0625 %,
2012-01-18,159.94,169.5364,151.943,2012-01-31,169.77,9.83,-6.1461 %,
2012-03-26,163.17,172.9602,155.0115,2012-05-08,154.92,-8.25,5.0561 %,
2012-04-25,159.48,169.0488,151.506,2012-05-14,151.00,-8.48,5.3173 %,
2012-04-27,161.78,171.4868,153.691,2012-05-09,153.60001,-8.18,5.0562 %,
2012-07-02,154.67,163.9502,146.9365,2012-08-31,164.22,9.55,-6.1744 %,
2012-07-05,155.44,164.7664,147.668,2012-09-04,164.77,9.33,-6.0023 %,
2012-07-16,154.42999,163.6958,146.7085,2012-08-31,164.22,9.79,-6.3394 %,
2012-09-28,172.03,182.3518,163.4285,2012-11-02,162.30,-9.73,-5.656 %,
2012-11-30,166.94,176.9564,158.593,2012-12-20,158.39,-8.55,5.1216 %,
2013-01-11,161.86,171.5716,153.767,2013-02-20,150.84,-11.02,6.8084 %,
2013-03-22,155.45,164.777,147.6775,2013-04-12,143.42999,-12.02,7.7324 %,
2013-04-08,152.39,161.5334,144.7705,2013-04-12,143.42999,-8.96,5.8797 %,
2013-04-25,140.00,148.4,133.0,2013-05-16,133.00,-7.0,5.0 %,
2013-05-03,141.70,150.202,134.615,2013-05-15,134.23,-7.47,5.2717 %,
2013-05-09,141.33,149.8098,134.2635,2013-05-15,134.23,-7.1,5.0237 %,
2013-07-02,121.34,128.6204,115.273,2013-07-22,129.46001,8.12,-6.6919 %,
2013-07-09,120.84,128.0904,114.798,2013-07-22,129.46001,8.62,-7.1334 %,
2013-10-03,126.77,134.3762,120.4315,2013-11-20,119.76,-7.01,5.5297 %,
2013-11-07,126.14,133.7084,119.833,2013-11-20,119.76,-6.38,5.0579 %,
2014-01-24,122.06,129.3836,115.957,2014-02-25,129.53,7.47,-6.1199 %,
2014-03-04,128.53999,136.2524,122.113,2014-05-27,121.75,-6.79,-5.2824 %,
2014-04-03,123.75,131.175,117.5625,2014-09-17,117.50,-6.25,-5.0505 %,
2014-04-07,125.07,132.5742,118.8165,2014-09-11,118.77,-6.3,-5.0372 %,
2014-04-09,125.46,132.9876,119.187,2014-09-11,118.77,-6.69,-5.3324 %,
2014-04-15,124.79,132.2774,118.5505,2014-09-12,118.07,-6.72,5.385 %,
2014-05-15,124.77,132.2562,118.5315,2014-09-12,118.07,-6.7,5.3699 %,
2014-08-04,124.36,131.8216,118.142,2014-09-12,118.07,-6.29,-5.0579 %,
2014-08-29,123.75,131.175,117.5625,2014-09-17,117.50,-6.25,5.0505 %,
2014-10-14,118.58,125.6948,112.651,2014-10-31,111.83,-6.75,5.6924 %,
2014-10-21,120.27,127.4862,114.2565,2014-10-31,111.83,-8.44,7.0175 %,
2014-12-31,114.89,121.7834,109.1455,Trade in Progress,N/A,N/A,N/A,
,,,,,,,
Number of Winners:,55,
Number of Losers:,46,
Average Percent Change:,0.6929 %,
